amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_3yr_pct,raw_score,fund_score
120507,0.0723241093234459,124.92229502423471,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,35.0,23.0,31.0,7.0,1.0,7.68,23.6,67.7494199535963
119095,0.015204552427132478,-19.14533993604688,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,4.0,33.0,37.0,17.0,39.0,20.98,23.300000000000004,66.35730858468679
102885,0.18218826089343754,205.90903301205807,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,30.0,16.0,19.0,34.0,7.0,12.1,22.599999999999998,63.1090487238979
102887,0.16828673461948984,156.11843270091168,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,13.0,22.0,21.0,39.5,30.0,15.34,22.525000000000002,62.76102088167054
120503,0.18771330105513617,201.08916036853174,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,33.0,17.0,17.0,20.0,14.0,11.54,21.95,60.092807424593964
118635,0.15945481185082522,167.5439636343636,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,32.0,19.0,23.0,13.0,10.0,11.77,21.9,59.860788863109036
101207,0.07933120999915699,40.99051386018987,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,3.0,28.0,27.0,28.5,38.0,22.38,21.375,57.4245939675174
118633,0.16262218000296524,162.59227444991703,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,27.0,21.0,22.0,5.5,26.0,12.33,21.175,56.49651972157773
119599,0.02053064146209893,-14.41102970870135,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,2.0,32.0,36.0,5.5,40.0,23.14,20.625,53.94431554524362
125498,0.11293660210400969,75.75420410272206,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,14.0,27.0,26.0,10.0,29.0,15.29,20.549999999999997,53.59628770301623
120506,0.17072227512921923,163.51745143228823,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,18.0,20.0,20.0,19.0,27.0,14.76,19.95,50.812064965197216
118634,0.16361396476593382,113.00537024506583,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,5.0,26.0,18.0,28.5,32.0,20.15,19.075,46.75174013921113
125497,0.19003613208378556,195.4991429549224,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,24.0,18.0,16.0,14.0,18.0,13.38,18.8,45.475638051044086
148568,0.22499840384352243,233.42441137747568,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,19.0,15.0,14.0,26.5,19.0,14.56,18.125,42.343387470997676
119552,0.21508021785499332,240.22643321023463,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,34.0,12.0,15.0,4.0,11.0,11.3,17.900000000000002,41.299303944315554
101206,0.23520488754230384,258.85775862459315,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,22.0,9.0,12.0,36.5,9.0,13.78,17.625,40.02320185614849
119551,0.2578492084946409,304.4831749779248,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,26.0,4.0,10.0,30.5,17.0,12.36,17.075,37.47099767981438
118632,0.2403119561352478,272.57811319511745,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,21.0,8.0,11.0,24.5,23.0,14.0,16.475,34.68677494199537
148569,0.31924485848158723,311.20236649513106,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,23.0,3.0,4.0,36.5,21.0,13.58,16.025,32.598607888631086
119094,0.28192608222062465,251.55420868963765,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,15.0,11.0,9.0,17.0,28.0,15.18,14.400000000000002,25.05800464037124
120504,0.2327744753273051,258.68411976942366,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,20.0,10.0,13.0,12.0,12.0,14.41,14.099999999999998,23.665893271461705
149323,0.29558105232568344,285.2947068236306,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,1.61,9.0,6.0,8.0,38.0,22.0,17.16,13.7,21.809744779582363
149324,0.3226210752841656,239.34854781472396,0.3005787817097677,0.011455159960520708,-0.31171900300634214,1.52,6.0,13.0,2.0,26.5,37.0,20.08,13.125,19.1415313225058
148567,0.30949920362874206,364.96937492221747,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,17.0,1.0,7.0,23.0,8.0,14.81,11.0,9.280742459396752
119598,0.3239808398464554,238.21768089393362,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,1.0,14.0,1.0,21.0,36.0,23.39,10.75,8.120649651972158
100033,0.30099703552874524,275.612083370727,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,10.0,7.0,6.0,17.0,20.0,16.58,10.5,6.960556844547564
120843,0.30883325525154603,329.2994803247959,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,11.0,2.0,5.0,22.0,13.0,15.65,9.4,1.8561484918793518
120505,0.3280159948038617,297.3855018104836,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,8.0,5.0,3.0,15.0,25.0,18.08,9.0,0.0
